Geneset	Genes
ROSMAP Upregulated Genes	RGS1
ROSMAP Upregulated Genes	VENTX
ROSMAP Upregulated Genes	HLA-DPB1
ROSMAP Upregulated Genes	HCLS1
ROSMAP Upregulated Genes	TFEC
ROSMAP Upregulated Genes	CLEC7A
ROSMAP Upregulated Genes	PADI2
ROSMAP Upregulated Genes	ADAM28
ROSMAP Upregulated Genes	METTL24
ROSMAP Upregulated Genes	TBXAS1
ROSMAP Upregulated Genes	BTG2
ROSMAP Upregulated Genes	NCF4
ROSMAP Upregulated Genes	ADPRH
ROSMAP Upregulated Genes	CIITA
ROSMAP Upregulated Genes	SIRPB2
ROSMAP Upregulated Genes	THEMIS2
ROSMAP Upregulated Genes	AOAH
ROSMAP Upregulated Genes	IL13RA1
ROSMAP Upregulated Genes	CYTL1
ROSMAP Upregulated Genes	SASH3
ROSMAP Upregulated Genes	CSF3R
ROSMAP Upregulated Genes	RASAL3
ROSMAP Upregulated Genes	MFSD1
ROSMAP Upregulated Genes	HLA-DOA
ROSMAP Upregulated Genes	ZFP36L2
ROSMAP Upregulated Genes	HLA-DRA
ROSMAP Upregulated Genes	TLR2
ROSMAP Upregulated Genes	HK2
ROSMAP Upregulated Genes	CSF1R
ROSMAP Upregulated Genes	PIRT
ROSMAP Upregulated Genes	GPR183
ROSMAP Upregulated Genes	ZIC1
ROSMAP Upregulated Genes	JUNB
ROSMAP Upregulated Genes	FCGR2A
ROSMAP Upregulated Genes	FOLR2
ROSMAP Upregulated Genes	CD74
ROSMAP Upregulated Genes	GALNT15
ROSMAP Upregulated Genes	SPTLC3
ROSMAP Upregulated Genes	ITGAM
ROSMAP Upregulated Genes	SLC2A5
ROSMAP Upregulated Genes	PARVG
ROSMAP Upregulated Genes	RPS6KA1
ROSMAP Upregulated Genes	CLEC4E
ROSMAP Upregulated Genes	FGL2
ROSMAP Upregulated Genes	ALDH1A3
ROSMAP Upregulated Genes	ANKFY1
ROSMAP Upregulated Genes	RHBDF2
ROSMAP Upregulated Genes	TMCC3
ROSMAP Upregulated Genes	B3GNT5
ROSMAP Upregulated Genes	KIAA1755
ROSMAP Upregulated Genes	ALOX5AP
